timeStamp, request number
0,48
1,180
2,298
3,389
4,389
5,389
6,380
7,385
8,380
9,385
10,382
11,379
12,389
13,388
14,386
15,384
16,386
17,383
18,380
19,384
20,387
21,386
22,383
23,384
24,379
25,381
26,381
27,379
28,377
29,379
30,379
31,382
32,372
33,382
34,380
35,383
36,376
37,388
38,380
39,376
40,384
41,382
42,386
43,382
44,386
45,336
46,351
47,323
48,184
49,115
50,67
51,36
52,108
53,235
54,346
55,484
56,599
57,709
58,811
59,939
60,994
61,1065
62,1243
63,1343
64,1438
65,1447
66,1334
67,1707
68,1762
69,1798
70,1780
71,1481
72,1097
73,1765
74,1346
75,1739
76,1713
77,1779
78,1408
79,1755
80,1397
81,1739
82,1729
83,1531
84,1680
85,1387
86,1723
87,1682
88,1671
89,1520
90,1683
91,1496
92,1526
93,1639
94,1630
95,1642
96,1452
97,1641
98,1424
99,1624
100,1618
101,1581
102,1585
103,1442
104,1216
105,950
106,1238
107,1600
108,1564
109,1574
110,1540
111,1539
112,1555
113,1549
114,1509
115,1523
116,1346
117,1496
118,1501
119,1330
120,1496
121,1326
122,1485
123,1504
124,1440
125,1452
126,1441
127,1440
128,1284
129,1437
130,1410
131,1407
132,1408
133,1411
134,1333
135,1364
136,1159
137,1376
138,1372
139,1307
140,1317
141,1135
142,1348
143,1363
144,1237
145,1274
146,1282
147,1075
148,1304
149,1318
150,1270
151,1228
152,1237
153,1240
154,1268
155,1232
156,1186
157,1177
158,1149
159,1090
160,1036
161,913
162,981
163,906
164,843
165,742
166,486
167,766
168,724
169,704
170,684
171,570
172,460
173,473
174,371
175,327
176,295
177,218
178,164
179,147
180,109
181,72
182,51
183,48
184,23
185,65
186,138
187,229
188,320
189,321
190,475
191,578
192,640
193,628
194,627
195,836
196,902
197,962
198,1002
199,1048
200,979
201,1128
202,1199
203,1153
204,1213
205,1281
206,1368
207,1362
208,1407
209,1394
210,1400
211,1461
212,1474
213,1501
214,1581
215,1516
216,1562
217,1562
218,1572
219,1605
220,1523
221,1546
222,1599
223,1484
224,1541
225,1549
226,1489
227,1517
228,1499
229,1464
230,1478
231,1437
232,1436
233,1456
234,1436
235,1391
236,1471
237,1410
238,1408
239,1405
240,1379
241,1388
242,1392
243,1369
244,1365
245,1366
