timeStamp, request number
0,26
1,97
2,162
3,211
4,206
5,217
6,209
7,212
8,206
9,215
10,208
11,212
12,208
13,210
14,212
15,206
16,212
17,207
18,211
19,209
20,213
21,207
22,211
23,206
24,208
25,210
26,207
27,205
28,211
29,188
30,199
31,210
32,209
33,215
34,208
35,214
36,207
37,213
38,212
39,209
40,210
41,212
42,211
43,208
44,214
45,212
46,209
47,212
48,211
49,207
50,213
51,204
52,210
53,209
54,207
55,214
56,215
57,208
58,212
59,206
60,212
61,215
62,214
63,205
64,212
65,206
66,213
67,211
68,210
69,209
70,208
71,214
72,207
73,213
74,207
75,205
76,211
77,213
78,207
79,215
80,210
81,211
82,209
83,214
84,184
85,210
86,158
87,112
88,57
89,6
90,52
91,117
92,144
93,205
94,281
95,325
96,416
97,474
98,539
99,599
100,672
101,739
102,777
103,833
104,907
105,943
106,1004
107,1048
108,1035
109,912
110,1028
111,1034
112,966
113,1014
114,910
115,1028
116,1014
117,962
118,960
119,924
120,1038
121,1011
122,1026
123,1007
124,1015
125,993
126,1006
127,1013
128,1004
129,974
130,1008
131,985
132,1004
133,886
134,909
135,980
136,988
137,1011
138,1003
139,960
140,947
141,1003
142,981
143,997
144,981
145,989
146,980
147,977
148,971
149,969
150,970
151,979
152,990
153,987
154,972
155,962
156,977
157,719
158,491
159,850
160,978
161,962
162,933
163,901
164,860
165,967
166,958
167,984
168,968
169,954
170,940
171,951
172,971
173,963
174,964
175,945
176,959
177,973
178,955
179,915
180,917
181,911
182,919
183,904
184,918
185,924
186,912
187,912
188,908
189,802
190,909
191,905
192,902
193,911
194,819
195,893
196,899
197,905
198,891
199,805
200,899
201,884
202,886
203,894
204,788
205,775
206,866
207,838
208,799
209,863
210,868
211,837
212,780
213,871
214,851
215,862
216,860
217,850
218,862
219,864
220,852
221,843
222,858
223,856
224,826
225,800
226,663
227,743
228,822
229,638
230,682
231,708
232,746
233,734
234,736
235,671
236,766
237,833
238,822
239,753
240,833
241,806
242,830
243,818
244,806
245,814
246,818
247,811
248,791
249,732
250,785
251,762
252,782
253,802
254,811
255,805
256,794
257,815
258,814
259,812
260,757
261,709
262,573
263,605
264,626
265,591
266,547
267,514
268,468
269,444
270,380
271,359
272,309
273,234
274,225
275,178
276,174
277,111
278,54
279,35
280,11
281,68
282,122
283,182
284,239
285,294
286,351
287,402
288,459
289,509
290,430
291,418
292,511
293,644
294,629
295,639
296,638
297,817
298,697
299,799
300,781
301,903
302,882
303,919
304,987
305,1024
306,1045
307,969
308,939
309,1029
310,1093
311,1133
312,1028
313,997
314,1082
315,1229
316,1195
317,1214
318,1057
319,1011
320,1067
321,1244
322,1238
323,1302
324,1274
325,1281
326,1294
327,1284
328,1286
329,1255
330,1282
331,1283
332,1289
333,1301
334,1243
335,1270
336,1256
337,1255
338,1256
339,1218
340,1280
341,1271
342,1221
343,1262
344,1261
345,1245
346,1262
347,1263
348,1221
349,1200
350,1222
351,1205
352,1208
353,1223
354,1184
355,1232
356,1200
357,1189
358,1186
359,1186
360,1162
361,1192
362,1200
363,1177
364,1163
365,1196
366,1143
367,1172
368,1166
369,1171
370,1154
371,1167
372,1181
373,1143
374,1160
375,1172
376,1150
377,1157
378,1110
379,1139
380,1125
381,1142
382,1163
383,1137
384,1140
385,1016
386,1040
387,1008
388,1124
389,1084
390,1105
391,1070
392,1096
393,1092
394,1074
395,1088
396,1074
397,1052
398,1078
399,1113
400,1121
401,1082
402,1078
403,1097
404,1072
405,1073
406,1059
407,1095
408,1046
409,1115
410,1047
411,1077
412,1072
413,1065
414,1054
415,1058
416,1048
417,1078
418,1019
419,1049
420,1046
421,1044
422,1046
423,1041
424,1007
425,1017
426,1013
427,948
428,1050
429,955
430,1044
431,1002
432,1009
433,1018
434,996
435,1002
436,1039
437,977
438,1022
439,998
440,979
441,1013
442,977
443,987
444,994
445,986
446,990
447,972
448,958
449,992
450,958
451,974
452,978
453,951
454,968
455,922
456,968
457,967
458,936
459,939
460,948
461,938
462,961
463,923
464,921
465,952
466,931
467,923
468,920
469,907
470,921
471,926
472,940
473,896
474,933
475,934
476,904
477,910
478,915
479,868
480,925
481,924
482,905
483,903
484,881
485,891
486,900
487,926
488,868
489,876
490,887
491,884
492,863
493,879
494,872
495,874
496,896
497,866
498,872
499,863
500,866
501,861
502,826
503,883
504,843
505,863
506,820
507,869
508,792
509,361
510,309
511,242
512,498
513,832
514,859
515,855
516,846
517,834
518,854
519,821
520,823
521,858
522,823
523,816
524,840
525,855
526,823
527,831
528,834
529,813
530,825
531,813
532,831
533,824
