timeStamp, request number
0,44
1,156
2,191
3,194
4,183
5,187
6,190
7,189
8,189
9,196
10,181
11,143
12,170
13,113
14,99
15,113
16,81
17,62
18,64
19,194
20,186
21,188
22,188
23,145
24,185
25,193
26,108
27,85
28,156
29,142
30,114
31,57
32,106
33,83
34,88
35,145
36,189
37,166
38,78
39,98
40,96
41,163
42,189
43,181
44,188
45,155
46,182
47,179
48,191
49,156
50,158
51,155
52,179
53,193
54,189
55,190
56,189
57,189
58,174
59,65
60,51
61,168
62,281
63,398
64,487
65,615
66,729
67,822
68,913
69,946
70,923
71,970
72,977
73,951
74,958
75,939
76,862
77,942
78,972
79,962
80,961
81,943
82,916
83,959
84,952
85,941
86,858
87,898
88,828
89,929
90,845
91,945
92,945
93,925
94,935
95,923
96,927
97,913
98,914
99,921
100,923
101,912
102,911
103,916
104,906
105,911
106,893
107,849
108,900
109,899
110,893
111,898
112,894
113,885
114,895
115,897
116,909
117,831
118,855
119,823
120,797
121,879
122,866
123,885
124,876
125,857
126,862
127,861
128,827
129,870
130,872
131,862
132,864
133,871
134,817
135,792
136,818
137,840
138,839
139,854
140,842
141,841
142,837
143,833
144,838
145,825
146,754
147,761
148,760
149,738
150,686
151,625
152,531
153,468
154,437
155,330
156,264
157,198
158,139
159,120
160,75
161,41
162,27
163,120
164,226
165,325
166,407
167,499
168,633
169,717
170,820
171,926
172,1015
173,1130
174,1062
175,1125
176,1352
177,1424
178,1475
179,1548
180,1400
181,1515
182,1522
183,1531
184,1528
185,1493
186,1504
187,1486
188,1487
189,1451
190,1435
191,1463
192,1450
193,1438
194,1450
195,1431
196,1429
197,1396
198,1388
199,1361
200,1244
201,1340
202,1267
203,1378
204,1398
205,1377
206,1356
207,1230
208,1368
209,1367
210,1355
211,1348
212,1349
213,1333
214,1302
215,1229
216,1234
217,1274
218,1306
219,1282
220,1196
221,1283
222,1229
223,1262
224,1244
225,1162
226,1290
227,1244
228,1204
229,1241
230,1265
231,1233
232,1240
233,1217
234,1241
235,1211
236,1235
237,1208
238,1206
239,1205
240,1186
241,1198
242,1162
243,1191
244,1190
245,1179
246,1206
247,1163
248,1077
249,1160
250,1177
251,1178
252,1124
253,1146
254,1122
255,1157
256,1143
257,1168
258,1145
259,1150
260,1148
261,1123
262,1091
263,1132
264,1132
265,1133
266,1116
267,1108
268,1105
269,1098
270,1110
271,1117
272,1082
273,1076
274,1094
275,1104
276,1089
277,1085
278,1087
279,1088
280,1078
281,1061
282,1042
283,1082
284,1076
285,1089
286,1057
287,1073
288,1051
289,1076
290,1046
291,1067
292,1040
293,1042
294,1059
295,1055
296,1055
297,1038
298,1014
299,1025
300,1021
301,1030
302,1013
303,1051
304,1011
305,1013
306,1038
307,994
308,1007
309,993
310,1018
311,999
312,955
313,1004
314,995
315,996
316,1007
317,996
318,1007
319,984
320,969
321,984
322,987
323,979
324,999
325,1000
326,1002
327,977
328,981
329,973
330,957
331,970
332,970
333,948
334,968
335,806
336,943
337,947
338,945
339,950
340,878
341,915
342,941
343,890
344,904
345,906
346,942
347,914
348,891
349,927
350,910
351,928
352,932
353,928
354,928
355,911
356,923
357,943
358,943
359,933
360,874
361,904
362,855
363,884
364,912
365,894
366,904
367,898
368,910
369,906
370,840
371,901
372,873
373,865
374,867
375,876
376,837
377,845
378,830
379,884
380,851
381,867
382,877
383,882
384,889
385,889
386,848
387,867
388,839
389,836
390,809
391,884
392,855
393,833
394,878
395,868
396,873
397,882
398,851
399,870
400,832
401,882
402,851
403,870
404,858
405,811
406,861
407,769
408,855
409,859
410,821
411,841
412,858
413,866
414,787
415,832
416,843
417,811
418,856
419,837
420,825
421,789
422,813
423,795
424,818
425,799
426,825
427,815
428,847
429,824
430,818
431,828
432,839
433,825
434,836
435,823
436,819
437,824
438,812
439,825
440,798
441,813
442,801
443,803
444,780
445,764
446,813
447,770
448,818
449,817
450,774
451,804
452,797
453,772
454,792
455,780
456,786
457,765
458,771
459,767
460,791
461,776
462,750
463,779
464,756
465,764
466,779
467,779
468,801
469,778
470,807
471,786
472,771
473,757
474,806
475,749
476,768
477,777
478,780
479,768
480,748
481,761
482,767
483,739
484,734
485,709
486,750
487,745
488,762
489,731
490,760
491,757
492,762
493,730
494,728
495,716
496,737
497,695
498,738
499,737
500,732
501,725
502,719
503,718
504,692
505,687
506,695
507,677
508,673
509,670
510,657
511,615
512,609
513,579
514,564
515,532
516,525
517,530
518,502
519,483
520,426
521,471
522,459
523,450
524,451
525,434
526,434
527,412
528,372
529,307
530,265
531,244
532,241
533,188
534,169
535,136
536,119
537,121
538,101
539,81
540,76
541,58
542,34
543,28
544,17
545,17
546,9
547,40
548,102
549,153
550,211
551,256
552,240
553,260
554,262
555,269
556,256
557,257
558,273
559,261
560,265
561,260
562,265
563,264
564,265
565,257
566,262
567,260
568,267
569,260
570,265
571,259
572,257
573,268
574,266
575,233
576,264
577,235
578,262
579,265
580,254
581,262
582,263
583,183
584,261
585,261
586,257
587,261
588,268
589,249
590,256
591,263
592,267
593,256
594,262
595,262
596,262
597,264
598,251
599,262
600,270
601,253
602,249
603,253
604,273
605,260
606,253
607,264
608,241
609,211
610,259
611,256
612,258
613,262
614,261
615,257
616,263
617,249
618,258
619,253
620,259
621,250
622,258
623,254
624,258
625,253
626,260
627,251
628,261
629,251
630,265
631,250
632,251
633,250
634,254
635,246
636,254
637,250
638,260
639,252
640,242
641,252
642,250
643,250
644,250
645,246
646,248
647,256
648,260
649,256
650,160
651,248
652,248
653,256
654,255
655,250
656,255
657,255
658,262
659,252
660,252
661,259
662,259
663,250
664,255
665,259
666,258
667,247
668,206
669,255
670,251
671,248
672,249
673,265
674,259
675,250
676,255
677,254
678,259
679,249
680,255
681,243
682,251
683,256
684,250
685,251
686,247
687,262
688,259
689,246
690,253
691,254
692,248
693,253
694,257
695,254
696,255
697,250
698,255
699,248
700,260
701,253
702,222
703,211
704,171
705,140
706,107
707,84
708,82
709,36
710,14
711,13
712,14
713,2
